"","state.abb","name","population","id","missing_2020","missing_2021","Notes","source"
"141","TX","lampasas county",21707,NA,"missing","missing","uploaded files to portal",""
"142","TX","la salle county",6664,129402,"","missing","",""
"143","TX","lavaca county",20348,88348,"","missing","",""
"144","TX","lee county",17502,88351,"","missing","",""
"145","TX","leon county",15731,88353,"","missing","",""
"146","TX","liberty county",92465,38635,"","missing","",""
"147","TX","limestone county",22139,NA,"missing","missing","can't find",""
"148","TX","lipscomb county",3036,NA,"missing","missing","uploaded files to portal","https://www.co.lipscomb.tx.us/page/lipscomb.Financial.Reports"
"149","TX","live oak county",11349,129405,"","missing","only 2020",""
"150","TX","llano county",21285,88358,"","","",""
"151","TX","loving county",65,NA,"missing","missing","only 2019, 2020","https://www.co.loving.tx.us/page/loving.audits"
"152","TX","lubbock county",311564,38636,"","","",""
"153","TX","lynn county",5610,NA,"missing","missing","only 2019",""
"154","TX","mcculloch county",7591,129408,"","","",""
"155","TX","mclennan county",261177,43975,"","","",""
"156","TX","mcmullen county",598,NA,"missing","missing","only 2020","https://mcmullencounty.org/audits/"
"157","TX","madison county",13464,129410,"","missing","",""
"158","TX","marion county",9751,129411,"","missing","",""
"159","TX","martin county",5252,NA,"missing","missing","can't find",""
"160","TX","mason county",3968,NA,"missing","missing","can't find",""
"161","TX","matagorda county",36280,38637,"","","",""
"162","TX","maverick county",57873,65058,"","","",""
"163","TX","medina county",50939,38638,"","","",""
"164","TX","menard county",1961,129414,"","missing","",""
"165","TX","midland county",170348,88372,"","","",""
"166","TX","milam county",24775,88374,"","","",""
"167","TX","mills county",4447,129415,"","","",""
"168","TX","mitchell county",9014,129416,"","missing","",""
"169","TX","montague county",19994,98546,"","","",""
"170","TX","montgomery county",625243,38639,"","","",""
"171","TX","moore county",21264,NA,"missing","missing","can't find",""
"172","TX","morris county",11972,129417,"","","uploaded files to portal",""
"173","TX","motley county",1063,NA,"missing","missing","can't find",""
"174","TX","nacogdoches county",64619,88386,"","","",""
"175","TX","navarro county",52828,38640,"","","",""
"176","TX","newton county",12157,52478,"","missing","",""
"177","TX","nolan county",14723,88392,"","","",""
"178","TX","nueces county",353376,38641,"","","",""
"179","TX","ochiltree county",9954,129419,"","","",""
"180","TX","oldham county",1764,NA,"missing","missing","no statement of net position","https://www.co.oldham.tx.us/upload/page/10916/2021_audit.pdf"
"181","TX","orange county",84747,44919,"","","",""
"182","TX","palo pinto county",28445,129421,"","","",""
"183","TX","panola county",22492,88398,"","missing","",""
"184","TX","parker county",149547,129422,"","","",""
"185","TX","parmer county",9854,NA,"missing","","can't find",""
"186","TX","pecos county",15185,88403,"","missing","only 2020",""
"187","TX","polk county",50494,46307,"","","",""
"188","TX","potter county",118272,88415,"","","",""
"189","TX","presidio county",6109,NA,"missing","missing","can't find",""
"190","TX","rains county",12178,NA,"missing","missing","can't find",""
"191","TX","randall county",141342,88419,"","","",""
"192","TX","reagan county",3378,129426,"","missing","",""
"193","TX","real county",2743,129427,"","missing","",""
"194","TX","red river county",11560,NA,"missing","missing","can't find",""
"195","TX","reeves county",14763,NA,"missing","missing","can't find",""
"196","TX","refugio county",6742,38642,"","","",""
"197","TX","roberts county",822,NA,"missing","missing","uploaded files to portal","https://www.co.roberts.tx.us/page/roberts.Financial.Transparency"
"198","TX","robertson county",16771,NA,"missing","missing","can't find",""
"199","TX","rockwall county",109136,88429,"","","",""
"200","TX","runnels county",9919,129430,"","missing","",""
"201","TX","rusk county",52257,88433,"","","",""
"202","TX","sabine county",9888,49998,"","","",""
"203","TX","san augustine county",7923,NA,"missing","missing","can't find",""
"204","TX","san jacinto county",27531,52922,"","missing","",""
"205","TX","san patricio county",68838,38643,"","","",""
"206","TX","san saba county",5722,129432,"","missing","",""
"207","TX","schleicher county",2445,NA,"missing","missing","can't find",""
"208","TX","scurry county",16937,88444,"","missing","",""
"209","TX","shackelford county",3105,129434,"","","",""
"210","TX","shelby county",23927,55081,"","missing","",""
"211","TX","sherman county",2787,NA,"missing","missing","only 2019, 2020","https://www.co.sherman.tx.us/page/sherman.Audit.Reports"
"212","TX","smith county",234195,100195,"","","",""
"213","TX","somervell county",9204,NA,"missing","missing","only available till 2018","http://www.somervell.co/wp-content/uploads/2021/01/2018-Audit-Report.pdf"
"214","TX","starr county",65861,98549,"","","",""
"215","TX","stephens county",9098,NA,"missing","","only 2020","https://www.co.stephens.tx.us/page/stephens.Annual.Financials"
"216","TX","sterling county",1381,129438,"","missing","",""
"217","TX","stonewall county",1245,NA,"missing","missing","can't find",""
"218","TX","sutton county",3355,129440,"","missing","",""
"219","TX","swisher county",6946,98550,"","","",""
"220","TX","tarrant county",2115682,38644,"","","",""
"221","TX","taylor county",143444,88465,"","","",""
"222","TX","terrell county",750,NA,"missing","missing","can't find",""
"223","TX","terry county",11794,NA,"missing","missing","only 2019",""
"224","TX","throckmorton county",1453,NA,"missing","","can't find",""
"225","TX","titus county",31292,100197,"","","",""
"226","TX","tom green county",120194,88480,"","","",""
"227","TX","travis county",1296515,38645,"","","",""
"228","TX","trinity county",13632,88483,"","missing","",""
"229","TX","tyler county",19811,88485,"","","",""
"230","TX","upshur county",41038,65904,"","","",""
"231","TX","upton county",3301,NA,"missing","missing","can't find",""
"232","TX","uvalde county",24559,88488,"","","",""
"233","TX","val verde county",47605,38646,"","","",""
"234","TX","van zandt county",59749,88489,"","missing","",""
"235","TX","victoria county",91303,100211,"","","",""
"236","TX","walker county",76544,65221,"","","",""
"237","TX","waller county",57304,88491,"","","",""
"238","TX","ward county",11680,88492,"","missing","",""
"239","TX","washington county",35805,88493,"","","",""
"240","TX","webb county",267345,38648,"","","",""
"241","TX","wharton county",41564,56364,"","missing","",""
"242","TX","wheeler county",4976,NA,"missing","missing","uploaded files to portal","https://www.co.wheeler.tx.us/page/County%20Audits"
"243","TX","wichita county",129617,88502,"","","uploaded files to portal","https://wichitacountytx.com/financial-transparency/comprehensive-annual-financial-reports/"
"244","TX","wilbarger county",12844,88503,"","missing","only 2020",""
"245","TX","willacy county",20150,197614,"","","",""
"246","TX","williamson county",615517,44495,"","","",""
"247","TX","wilson county",50051,88507,"","","",""
"248","TX","winkler county",7750,129445,"","missing","",""
"249","TX","wise county",68943,88509,"","","",""
"250","TX","wood county",45041,88510,"","missing","",""
"251","TX","yoakum county",7675,NA,"missing","missing","uploaded files to portal","https://www.co.yoakum.tx.us/page/yoakum.AuditedFinancailStatement"
"252","TX","young county",17847,129447,"","","",""
"253","TX","zapata county",13874,38650,"","","",""
"254","TX","zavala county",9662,NA,"missing","missing","can't find",""
