,state.abb,name,population,id,2020,2021,2022,
217,MT,ravalli county,44409,NA,,,,
218,NH,carroll county,50235,NA,,,,
219,NJ,camden county,523074,NA,,,,
220,NJ,mercer county,386441,NA,,,,
221,NM,los alamos county,19415,NA,,,,
222,NM,quay county,8712,NA,,,,
223,NM,sierra county,11563,NA,,,,
224,NC,caswell county,22699,NA,,,,
225,NC,cherokee county,28858,NA,,,,
226,NC,yancey county,18490,NA,,,,
227,ND,adams county,2187,NA,,,,
228,ND,benson county,5931,NA,,,,
229,ND,bottineau county,6384,NA,,,,
230,ND,bowman county,2984,NA,,,,
231,ND,burke county,2208,NA,,,,
232,ND,eddy county,2320,NA,,,,
233,ND,emmons county,3293,NA,,,,
234,ND,kidder county,2387,NA,,,,
235,ND,mcintosh county,2511,NA,,,,
236,ND,mclean county,9756,NA,,,,
237,ND,mercer county,8348,NA,,,,
238,ND,mountrail county,9807,NA,,,,
239,ND,nelson county,2993,NA,,,,
240,ND,oliver county,1869,NA,,,,
241,ND,pembina county,6823,NA,,,,
242,ND,ransom county,5690,NA,,,,
243,ND,renville county,2273,NA,,,,
244,ND,sheridan county,1267,NA,,,,
245,ND,towner county,2147,NA,,,,
246,ND,traill county,7988,NA,,,,
247,ND,ward county,69923,NA,,,,
248,OH,clinton county,42023,NA,,,,
249,OH,perry county,35448,NA,,,,
250,OH,pike county,27069,NA,,,,
251,OK,alfalfa county,5708,NA,,,,
252,OK,atoka county,14154,NA,,,,
253,OK,beaver county,5029,NA,,,,
254,OK,cherokee county,47090,NA,,,,
255,OK,choctaw county,14201,NA,,,,
256,OK,cimarron county,2290,NA,,,,
257,OK,cleveland county,296207,NA,,,,
258,OK,cotton county,5535,NA,,,,
259,OK,creek county,71837,NA,,,,
260,OK,garfield county,62692,NA,,,,
261,OK,grant county,4174,NA,,,,
262,OK,greer county,5493,NA,,,,
263,OK,harmon county,2473,NA,,,,
264,OK,jackson county,24736,NA,,,,
265,OK,jefferson county,5325,NA,,,,
266,OK,kay county,43609,NA,,,,
267,OK,kiowa county,8493,NA,,,,
268,OK,latimer county,9481,NA,,,,
269,OK,logan county,49743,NA,,,,
270,OK,mcintosh county,18950,NA,,,,
271,OK,major county,7746,NA,,,,
272,OK,murray county,13877,NA,,,,
273,OK,muskogee county,66241,NA,,,,
274,OK,pittsburg county,43784,NA,,,,
275,OK,pontotoc county,38087,NA,,,,
276,OK,roger mills county,3428,NA,,,,
277,OK,seminole county,23515,NA,,,,
278,OK,stephens county,42814,NA,,,,
279,OK,wagoner county,81379,NA,,,,
280,OK,washington county,52604,NA,,,,
281,OK,woodward county,20406,NA,,,,
282,PA,clearfield county,80438,NA,,,,
283,PA,lebanon county,143282,NA,,,,
284,PA,lycoming county,114108,NA,,,,
285,PA,montgomery county,856938,NA,,,,
286,PA,potter county,16385,NA,,,,
287,PA,wyoming county,26030,NA,,,,
288,SD,beadle county,19165,NA,y,n,n,https://legislativeaudit.sd.gov/reports/reports.aspx
289,SD,bennett county,3389,NA,y,n,n,
290,SD,bon homme county,6973,NA,y,n,n,
291,SD,brookings county,34350,NA,y,n,n,
292,SD,brown county,38222,NA,y,y,,
293,SD,buffalo county,1938,NA,y,n,n,
294,SD,butte county,10286,NA,y,n,n,
295,SD,campbell county,1377,NA,y,n,n,
296,SD,charles mix county,9356,NA,y,n,n,
297,SD,codington county,28350,nA,y,n,n,
298,SD,davison county,19962,NA,y,n,n,
299,SD,day county,5442,NA,y,n,n,
300,SD,deuel county,4294,NA,y,n,n,
301,SD,douglas county,2829,NA,y,n,n,
302,SD,faulk county,2128,NA,y,n,n,
303,SD,grant county,7532,NA,y,n,n,
304,SD,gregory county,3997,NA,y,n,n,
305,SD,hand county,3145,NA,y,n,n,
306,SD,harding county,1307,NA,y,n,n,
307,SD,hughes county,17745,NA,y,n,n,
308,SD,hutchinson county,7421,NA,y,n,n,
309,SD,kingsbury county,5203,NA,y,n,n,
310,SD,lawrence county,25838,NA,y,n,n,
311,SD,lincoln county,65650,NA,n,y,n,
312,SD,mccook county,5673,NA,y,n,n,
313,SD,meade county,29900,NA,y,n,n,
314,SD,pennington county,109563,NA,n,y,n,
315,SD,potter county,2480,NA,y,n,n,
316,SD,roberts county,10250,NA,y,n,n,
317,SD,spink county,6347,NA,y,n,n,
318,SD,sully county,1452,NA,y,n,n,
319,SD,todd county,9317,NA,y,n,n,
320,SD,tripp county,5603,NA,y,n,n,
321,SD,union county,16853,NA,,,,
322,TN,bledsoe county,14954,NA,,,,
323,TN,hancock county,6625,NA,,,,
324,TX,andrews county,18617,NA,,,,
325,TX,bosque county,18245,NA,,,,
326,TX,brown county,38048,NA,,,,
327,TX,cass county,28436,NA,,,,
328,TX,castro county,7336,NA,,,,
329,TX,childress county,6662,NA,,,,
330,TX,clay county,10250,NA,,,,
331,TX,coke county,3295,NA,,,,
332,TX,comal county,163640,NA,,,,
333,TX,comanche county,13628,NA,,,,
334,TX,dawson county,12473,NA,,,,
335,TX,deaf smith county,18526,NA,,,,
336,TX,dewitt county,19835,NA,,,,
337,TX,dickens county,1758,NA,,,,
338,TX,franklin county,10371,NA,,,,
339,TX,freestone county,19445,NA,,,,
340,TX,frio county,18409,NA,,,,
341,TX,gaines county,21699,NA,,,,
342,TX,gonzales county,19679,NA,,,,
343,TX,hardeman county,3559,NA,,,,
344,TX,harrison county,68798,NA,,,,
345,TX,hartley county,5349,NA,,,,
346,TX,henderson county,82394,NA,,,,
347,TX,hopkins county,36824,NA,,,,
348,TX,howard county,34812,NA,,,,
349,TX,hutchinson county,20568,NA,,,,
350,TX,irion county,1511,NA,,,,
351,TX,jackson county,14992,NA,,,,
352,TX,karnes county,14763,NA,,,,
353,TX,la salle county,6664,NA,,,,
354,TX,lavaca county,20348,NA,,,,
355,TX,lee county,17502,NA,,,,
356,TX,leon county,15731,NA,,,,
357,TX,liberty county,92465,NA,,,,
358,TX,live oak county,11349,NA,,,,
359,TX,madison county,13464,NA,,,,
360,TX,marion county,9751,NA,,,,
361,TX,menard county,1961,NA,,,,
362,TX,mitchell county,9014,NA,,,,
363,TX,newton county,12157,NA,,,,
364,TX,panola county,22492,NA,,,,
365,TX,pecos county,15185,NA,,,,
366,TX,reagan county,3378,NA,,,,
367,TX,real county,2743,NA,,,,
368,TX,runnels county,9919,NA,,,,
369,TX,san jacinto county,27531,NA,,,,
370,TX,san saba county,5722,NA,,,,
371,TX,scurry county,16937,NA,,,,
372,TX,shelby county,23927,NA,,,,
373,TX,sterling county,1381,NA,,,,
374,TX,sutton county,3355,NA,,,,
375,TX,trinity county,13632,NA,,,,
376,TX,van zandt county,59749,NA,,,,
377,TX,ward county,11680,NA,,,,
378,TX,wharton county,41564,NA,,,,
379,TX,wilbarger county,12844,NA,,,,
380,TX,winkler county,7750,NA,,,,
381,TX,wood county,45041,NA,,,,
382,UT,beaver county,7087,NA,,,,
383,UT,daggett county,952,NA,,,,
384,UT,piute county,1433,NA,,,,
385,UT,rich county,2500,NA,,,,
386,UT,wayne county,2508,NA,,,,
387,WA,benton county,207413,NA,,can't access website,,https://www.bentonauditor.com/Annual-Reports
388,WA,chelan county,79228,NA,only 2020,,,https://www.co.chelan.wa.us/auditor/pages/comprehensive-annual-financial-report
389,WA,grant county,99427,NA,,can't find,,
390,WA,klickitat county,22816,NA,,can't find,,
391,WA,pend oreille county,13506,NA,,non standard,,https://www.pendoreilleco.org/media/251
392,WV,logan county,32510,NA,,,,
