"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"2344","WI","albany","50304700100000",131256,2021,3177805,2919179,159665,0,0,0,0,205369,62373,0,36588,727393,285133,0,962000,171845,1802681,0,0,0,1974526,"1600000US5500800","town of albany","MONDOVI","PEPIN"
"2345","WI","spring green","50305701600000",131495,2021,7117005,6519028,487382,0,0,0,0,0,60915,0,49680,1443787,205441,170150,1733992,757101,2796269,0,0,0,3553370,"1600000US5576050","town of spring green","SPRING GREEN","SAUK"
"2346","WI","howard","50300901600000",1036138,2021,53486701,13349402,3799886,0,0,35490000,0,1319345,364098,0,483315,18853337,1571491,5639200,11590077,10592398,27061707,0,0,0,37654105,"1600000US5536000","town of howard","COLFAX","CHIPPEWA"
"2347","WI","lawrence","50305501100000",131695,2021,23890030,9320605,1016279,0,8349940,5106025,0,200771,97181,0,0,2751430,349883,1878965,2229835,-821597,8031710,851333,411,520307,7210113,"1600000US5542950","town of lawrence","GLEN FLORA","RUSK"
"2348","WI","st joseph","50305601500000",132217,2021,87337,0,87337,0,0,0,0,0,0,0,0,205886,215163,0,3137445,-1604322,5162816,0,0,0,3558494,"1600000US5570825","town of st joseph","HUDSON","ST CROIX"
"2349","WI","mazomanie","50301301700000",131180,2021,8599170,6335000,397188,0,0,294475,0,155496,98403,0,88235,6863788,123683,421964,1702517,721346,8390606,0,0,0,9111952,"1600000US5550250","town of mazomanie","MAZOMANIE","DANE"
"2350","WI","ixonia","50302800600000",131952,2021,8456083,0,8183791,0,0,5047758,0,0,0,0,22184,286938,324082,0,7320721,2611995,5319745,0,0,0,7931741,"1600000US5537600","town of ixonia","IXONIA","JEFFERSON"
"2351","WI","kewaskum","50306700800000",131567,2021,14650519,12647440,1850853,0,0,0,0,637240,0,0,152226,2898445,372160,59151,3243002,1073843,5498915,0,0,0,6572758,"1600000US5539325","town of kewaskum","KEWASKUM","WASHINGTON"
"2352","WI","somers","50303000700000",131304,2021,55440413,36085658,5640724,25646,0,0,0,966364,1836060,0,270866,5644590,317227,0,7752618,2896292,10818143,0,0,0,13714435,"1600000US5574650","town of somers","SOMERS","KENOSHA"
"2353","WI","somerset","50305601600000",131479,2021,5928056,3224463,222570,104670,0,2177615,0,0,0,0,198738,2110023,342864,1882724,2895373,2639476,4591508,0,0,0,7230984,"1600000US5574700","town of somerset","SOMERSET","ST CROIX"
"2354","WI","sherwood","50301002500000",131131,2021,4999250,2316652,376339,0,0,2242525,0,151515,0,0,63734,1633500,226234,193055,1383195,-47982,3483966,0,0,0,3435984,"1600000US5573550","town of sherwood","PITTSVILLE","CLARK"
"2355","WI","black earth","50301300300000",131169,2021,6486093,4818846,500141,0,0,1129784,0,135312,37322,0,0,3244126,412446,119209,1110386,780956,4105211,0,0,0,4886167,"1600000US5507825","town of black earth","BLACK EARTH","DANE"
"2356","WI","bristol","50301300600000",131305,2021,5757363,3103530,680738,0,0,1415000,318794,362149,107842,0,131459,5077464,49342,220601,2138472,646079,6839800,0,69,12500,7485879,"1600000US5509775","town of bristol","SUN PRAIRIE","DANE"
"2357","WI","cleveland","50306100400000",131335,2021,3603689,294891,0,0,0,1101025,0,0,0,0,0,0,0,0,1281325,-24179,1305504,810493,8204759,0,9015252,"1600000US5515450","town of cleveland","GILMAN","TAYLOR"
"2358","MA","otis","22300201900000",116596,2021,8175750,7405000,387103,26335,0,383647,221838,0,0,0,0,1058744,1171666,0,6515176,787909,7957677,0,0,0,8745586,"1600000US2551580","town of otis","OTIS","BERKSHIRE"
"2359","NJ","dennis township","31300500100000",121787,2021,14262696,1060000,0,0,0,2696515,1790616,0,0,0,57226,0,0,0,20269981,699414,19570567,0,0,0,20269981,"1600000US3417560","township of dennis","DENNISVILLE","CAPE MAY"
"2360","MN","twin lakes township","24304460100000",117773,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US2765929","township of twin lakes","NAYTAHWAUSH","MAHNOMEN"
"2361","MN","credit river township","24307000400000",118979,2021,4552510,3374499,0,0,0,0,51245,0,0,0,0,797506,51034,977216,1730163,480823,3075096,0,110,0,3555919,"1600000US2713726","township of credit river","PRIOR LAKE","SCOTT"
"2362","NJ","maple shade township","31300301500000",1036447,2021,137947744,23434000,0,0,9713866,0,15692311,0,12732224,0,0,0,0,0,66609165,4928487,61680678,0,0,0,66609165,"1600000US3443740","township of maple shade","MAPLE SHADE","BURLINGTON"
"2363","NJ","berlin township","31300400100000",121783,2021,47307168,9975000,0,12996,45048,0,8613226,0,5811122,0,0,0,0,0,31238115,2873335,28364780,0,0,0,31238115,"1600000US3405470","township of berlin","WEST BERLIN","CAMDEN"
"2364","NJ","carneys point township","31301701000000",121885,2021,19394315,3595000,0,0,124761,0,8761937,0,10938094,0,0,0,0,0,30770003,2842963,27927040,0,0,0,30770003,"1600000US3410610","township of carneys point","CARNEYS POINT","SALEM"
"2365","MA","charlemont","22300600400000",116631,2021,1735400,0,235400,0,0,1500000,0,0,0,0,0,0,0,0,4672782,-199636,4872418,0,0,0,4672782,"1600000US2512505","town of charlemont","CHARLEMONT","FRANKLIN"
"2366","NJ","east greenwich township","31300800200000",121809,2021,37716079,12227000,0,0,2280200,3375000,7802839,0,0,0,0,0,0,0,47000322,1816141,45184181,0,0,0,47000322,"1600000US3419180","township of east greenwich","MICKLETON","GLOUCESTER"
"2367","NJ","egg harbor township","31300100200000",1036496,2021,27727242,26280000,0,0,349209,479506,45040802,0,0,0,3620603,0,0,0,159755966,3597472,156158494,0,0,0,159755966,"1600000US3420290","township of egg harbor","EGG HARBOR TWP","ATLANTIC"
"2368","NJ","willingboro township","31300303000000",1036494,2021,64380734,36529000,0,145000,539966,0,48654762,0,22734769,0,2031814,0,0,0,88520656,3908630,84612025,0,0,0,88520656,"1600000US3481440","township of willingboro","WILLINGBORO","BURLINGTON"
"2369","NJ","green township","31301900500000",1036499,2021,4863140,298000,0,0,557454,575000,1607007,0,3272385,0,63083,0,0,0,17206040,607414,16598626,0,0,0,17206040,"1600000US3427420","township of green","TRANQUILITY","SUSSEX"
"2370","NJ","mount laurel township","31300301900000",121771,2021,108796471,34745000,0,0,0,0,37334671,0,22734769,0,0,0,0,0,196155074,7753545,188401529,0,0,0,196155074,"1600000US3449020","township of mount laurel","MOUNT LAUREL","BURLINGTON"
"2371","NJ","elk township","31300800300000",121810,2021,10734826,410000,0,156119,0,319200,3812211,0,0,0,146426,0,0,0,17503884,1745716,15758168,0,0,0,17503884,"1600000US3421060","township of elk","MONROEVILLE","GLOUCESTER"
"2372","NY","roxbury","33301301500000",122640,2021,2914232,1264097,407081,0,0,1190716,2098,0,0,0,50240,0,0,0,4200412,-1487273,5687685,0,0,0,4200412,"1600000US3664001","town of roxbury","ROXBURY","DELAWARE"
"2373","NJ","neptune township","31301301000000",35697,2021,85422839,29805000,0,0,1015822,3525197,30815405,0,60281596,0,0,0,0,0,120104737,6408566,113696171,0,0,0,120104737,"1600000US3449890","township of neptune","NEPTUNE","MONMOUTH"
"2374","ME","limestone","20300203200000",93358,2021,1004473,235405,123111,16152,430957,0,145581,0,23847,0,29421,106728,32896,0,6747335,635423,6251536,0,0,0,6886959,"1600000US2339300","town of limestone","LIMESTONE","AROOSTOOK"
"2375","NY","malone","33301701500000",47616,2021,5963606,469040,540605,0,0,900000,2254,0,2131509,0,62461,125182,0,877419,4270868,197021,5076448,0,0,877419,5273469,"1600000US3644721","town of malone","MALONE","FRANKLIN"
"2376","NY","covington","33306100500000",123066,2021,2556032,370000,164260,0,0,1918000,624,0,0,0,11249,94973,172426,96126,731650,137791,957384,0,0,0,1095175,"1600000US3618696","town of covington","PAVILION","WYOMING"
"2377","NY","hancock","33301300900000",122089,2021,930558,233765,624357,0,0,72436,2891,0,0,0,0,0,0,0,4901943,383172,4518771,0,0,0,4901943,"1600000US3631951","town of hancock","HANCOCK","DELAWARE"
"2378","NJ","ewing township","31301100200000",121833,2021,115307327,25185000,0,0,0,7375227,48371709,0,64931922,0,0,0,0,0,144749382,1687904,143061478,0,0,0,144749382,"1600000US3422185","township of ewing","EWING","MERCER"
"2379","WI","spring valley","50305401800000",131420,2021,6469471,4497996,414393,0,0,1554097,0,126764,0,0,2985,884637,182656,763695,947655,673515,2105128,0,0,0,2778643,"1600000US5576325","town of spring valley","ORFORDVILLE","ROCK"
"2380","WI","land o’ lakes","50306400600000",132284,2021,52047,0,52047,0,0,706288,0,0,0,0,20914,271689,361904,2018801,1206355,31185,3827564,0,0,0,3858749,"1600000US5542325","town of land o lakes","LAND O LAKES","VILAS"
"2381","WI","butler","50301000200000",131574,2021,8225138,7098694,474617,0,43552,339610,0,562086,186604,0,82061,2214178,237616,8181,2422846,40516,4842305,0,0,0,4882821,"1600000US5511425","town of butler","THORP","CLARK"
"2382","WI","glenwood","50305600800000",131473,2021,3467833,2915655,528785,0,0,0,0,0,0,0,23393,837693,166772,968659,857288,574189,2256223,0,0,0,2830412,"1600000US5529600","town of glenwood","GLENWOOD CITY","ST CROIX"
"2383","PA","south park township","39300204000000",127050,2021,3869076,2212720,3869076,0,0,0,0,1855134,313466,0,433915,3957547,889511,0,6195821,971283,10071596,2241696,298781,0,11042879,"1600000US4272400","township of south park","SOUTH PARK","ALLEGHENY"
"2384","WI","menomonie","50301700800000",89535,2021,43884759,25199142,2717963,0,131573,12185000,0,4651893,1675505,0,1662760,10099113,2017549,855221,14776919,5413479,22335323,0,0,0,27748802,"1600000US5551050","town of menomonie","MENOMONIE","DUNN"
"2385","IN","allen township","15305700200000",113204,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1801036","township of allen","AVILLA","NOBLE"
"2386","IN","bean blossom township","15305300100000",113207,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1803808","township of bean blossom","SPENCER","MONROE"
"2387","IN","adams township","15308600100000",107629,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1800496","township of adams","PINE VILLAGE","WARREN"
"2388","IN","bethlehem township","15301000100000",107635,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1805122","township of bethlehem","NABB","CLARK"
"2389","IN","blooming grove township","15302400200000",113073,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1805824","township of blooming grove","BROOKVILLE","FRANKLIN"
"2390","IN","brown township","15308800100000",107641,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1808380","township of brown","CAMPBELLSBURG","WASHINGTON"
"2391","IN","caesar creek township","15301500100000",113026,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1809730","township of caesar creek","DILLSBORO","DEARBORN"
"2392","IN","armstrong township","15308200100000",113285,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1802188","township of armstrong","EVANSVILLE","VANDERBURGH"
"2393","IN","bath township","15302400100000",113072,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1803700","township of bath","BROOKVILLE","FRANKLIN"
"2394","IN","fulton township","15302300300000",113069,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1826134","township of fulton","VEEDERSBURG","FOUNTAIN"
"2395","IN","galena township","15304600600000",113179,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1826224","township of galena","LA PORTE","LAPORTE"
"2396","IN","greene township","15307100400000",113133,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1829502","township of greene","SOUTH BEND","ST JOSEPH"
"2397","IN","hamilton township","15307700600000",109774,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1830672","township of hamilton","SULLIVAN","SULLIVAN"
"2398","IN","laurel township","15302400700000",113076,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1842390","township of laurel","LAUREL","FRANKLIN"
"2399","IN","grant township","15305600300000",112989,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1828872","township of grant","GOODLAND","NEWTON"
"2400","IN","hogan township","15301500500000",113027,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1834222","township of hogan","MOORES HILL","DEARBORN"
"2401","IN","iroquois township","15305600400000",113216,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1836522","township of iroquois","BROOK","NEWTON"
"2402","IN","halbert township","15305100200000",113200,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1830420","township of halbert","SHOALS","MARTIN"
"2403","IN","fugit township","15301600400000",113034,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1826098","township of fugit","GREENSBURG","DECATUR"
"2404","IN","laughery township","15306900800000",113252,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1842336","township of laughery","BATESVILLE","RIPLEY"
"2405","IN","hendricks township","15307300400000",113262,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1833070","township of hendricks","EDINBURGH","SHELBY"
"2406","IN","heth township","15303100500000",113100,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1833268","township of heth","LACONIA","HARRISON"
"2407","IN","honey creek township","15309100300000",113109,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1834564","township of honey creek","REYNOLDS","WHITE"
"2408","IN","hickory grove township","15300400500000",112990,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1833358","township of hickory grove","AMBIA","BENTON"
"2409","IN","highland township","15308300400000",113075,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1833520","township of highland","PERRYSVILLE","VERMILLION"
"2410","IN","leopold township","15306200300000",113231,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1842894","township of leopold","LEOPOLD","PERRY"
"2411","IN","lexington township","15307200400000",113258,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1843164","township of lexington","LEXINGTON","SCOTT"
"2412","IN","graham township","15303900100000",113137,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1828566","township of graham","DEPUTY","JEFFERSON"
"2413","IN","indian creek township","15306600500000",113187,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1836090","township of indian creek","STAR CITY","PULASKI"
"2414","IN","huntington township","15303500300000",113113,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555105,159435,395670,0,0,0,555105,"1600000US1835311","township of huntington","HUNTINGTON","HUNTINGTON"
"2415","IN","randolph township","15307900500000",113220,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1862964","township of randolph","ROMNEY","TIPPECANOE"
"2416","IN","richland township","15309200500000",112994,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1864242","township of richland","COLUMBIA CITY","WHITLEY"
"2417","IN","ripley township","15307000800000",113210,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1864656","township of ripley","ARLINGTON","RUSH"
"2418","IN","robinson township","15306500900000",113244,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1865124","township of robinson","WADESVILLE","POSEY"
"2419","IN","russell township","15306701100000",113249,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1866474","township of russell","ROACHDALE","PUTNAM"
"2420","IN","scott township","15308200700000",107806,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1868472","township of scott","EVANSVILLE","VANDERBURGH"
"2421","IN","shelby township","15307900700000",113141,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1869300","township of shelby","WEST LAFAYETTE","TIPPECANOE"
"2422","IN","pleasant run township","15304700700000",113189,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1860624","township of pleasant run","BEDFORD","LAWRENCE"
"2423","IN","rushville township","15307000900000",113254,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1866456","township of rushville","RUSHVILLE","RUSH"
"2424","IN","salem township","15307600900000",107805,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1867428","township of salem","HUDSON","STEUBEN"
"2425","IN","salt creek township","15305300900000",113035,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1867590","township of salt creek township","BLOOMINGTON","MONROE"
"2426","IN","pleasant township","15308500600000",107791,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1860498","township of pleasant","LAKETON","WABASH"
"2427","IN","polk township","15308801000000",113115,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1600000US1861002","township of polk","PEKIN","WASHINGTON"
