"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","original_name","CITY","COUNTY_AREA_NAME"
"97","IL","st. charles township","14304501400000",74059,2020,150000,0,0,0,150000,0,0,189254,0,0,0,310937,0,0,3504988,-1385,3817310,0,0,0,3815925,"1600000US1766716","township of st charles","SAINT CHARLES","KANE"
"98","IL","wood river township","14306002400000",74536,2020,0,0,0,0,0,0,329544,0,0,0,0,232148,0,325516,2531532,435314,2653882,0,0,0,3089196,"1600000US1783284","township of wood river","EAST ALTON","MADISON"
"99","IL","south fork township","14301101500000",73996,2020,0,0,0,0,0,0,0,0,0,0,0,10063,31609,0,1068950,67844,1042778,0,0,0,1110622,"1600000US1770798","township of south fork","KINCAID","CHRISTIAN"
"100","IL","wheeling township","14301602900000",74462,2020,165360,0,15787,0,0,0,149573,0,0,0,0,47875,106317,0,3112407,-210032,3476631,0,0,0,3266599,"1600000US1781100","township of wheeling","ARLINGTON HEIGHTS","COOK"
"101","MI","central lake township","23300500200000",154831,2020,16084,0,16084,0,0,0,0,0,0,0,0,119986,3285,0,723951,37162,810060,0,0,0,847222,"1600000US2614420","township of central lake","CENTRAL LAKE","ANTRIM"
"102","IL","robinson township","14301700900000",73740,2020,376048,0,175,0,0,375873,0,0,0,0,0,26196,15189,0,1369637,101979,1309043,0,0,0,1411022,"1600000US1764720","township of robinson","ROBINSON","CRAWFORD"
"103","MI","bloomfield township","23305700200000",154768,2020,0,0,0,0,0,0,0,0,0,0,0,3800,2610,0,130116,45910,90616,0,0,0,136526,"1600000US2609080","township of bloomfield","MANTON","MISSAUKEE"
"104","MI","oakfield township","23304101500000",104421,2020,31700,0,31700,0,0,0,0,0,0,0,0,257381,7762,0,862120,54300,1072963,55519,0,0,1127263,"1600000US2659580","township of oakfield","ROCKFORD","KENT"
"105","MI","mancelona township","23300501100000",155172,2020,17010,0,17010,0,0,0,0,0,0,0,0,154046,51383,0,772332,259517,718244,0,0,0,977761,"1600000US2650640","township of mancelona","MANCELONA","ANTRIM"
"106","MI","frost township","23301800400000",154958,2020,7493,0,7493,0,0,0,0,0,0,0,0,18178,33655,0,330731,138651,243913,0,0,0,382564,"1600000US2630900","township of frost","HARRISON","CLARE"
"107","MI","cambridge township","23304600300000",104067,2020,102272,0,77989,0,0,24283,0,0,0,0,0,1236234,25552,0,1483201,-97548,2842535,0,0,0,2744987,"1600000US2612720","township of cambridge","ONSTED","LENAWEE"
"108","MI","pipestone township","23301101600000",80269,2020,2685,0,2685,0,0,0,0,0,0,0,0,44450,3524,336720,268533,232491,420736,0,0,0,653227,"1600000US2664480","township of pipestone","EAU CLAIRE","BERRIEN"
"109","MI","liberty township","23308301100000",155131,2020,1452,0,1452,0,0,0,0,0,0,0,0,4935,3009,0,119461,16444,110961,0,0,0,127405,"1600000US2647380","township of liberty","MANTON","WEXFORD"
"110","MI","otsego township","23300301700000",104437,2020,146105,0,146105,0,0,0,0,0,0,0,0,1021688,26167,0,1107627,113264,2042218,769159,5587,0,2155482,"1600000US2661640","township of otsego","OTSEGO","ALLEGAN"
"111","MI","fruitland township","23306100600000",78745,2020,11060,0,11060,0,0,0,0,0,0,0,0,274770,12196,3842,946390,270001,967197,0,0,0,1237198,"1600000US2630980","township of fruitland","WHITEHALL","MUSKEGON"
"112","MI","springvale township","23302401400000",80760,2020,15350,0,15350,0,0,0,0,0,0,0,0,45107,6139,3350,802308,214023,642881,0,0,0,856904,"1600000US2675900","township of springvale","PETOSKEY","EMMET"
"113","MI","holland township","23305700800000",155067,2020,3673,0,3673,0,0,0,0,0,0,0,0,996,2556,0,75332,19699,59185,0,0,0,78884,"1600000US2638620","township of holland","FALMOUTH","MISSAUKEE"
"114","MI","cedar township","23306700200000",154828,2020,2258,0,2258,0,0,0,0,0,0,0,0,2820,2226,0,155567,56179,104434,0,0,0,160613,"1600000US2614040","township of cedar","REED CITY","OSCEOLA"
"115","MI","dover township","23306900500000",154912,2020,275274,0,13503,0,0,0,0,0,0,0,0,6723,2807,0,121349,26738,104141,0,0,0,130879,"1600000US2622840","township of dover","GAYLORD","OTSEGO"
"116","MI","lebanon township","23301901000000",155124,2020,1457,0,1457,0,0,0,0,0,0,0,0,5850,0,0,193978,54681,145147,0,0,0,199828,"1600000US2646580","township of lebanon","FOWLER","CLINTON"
"117","MI","olive township (clinton county)","23307000900000",104428,2020,209901,0,49360,0,0,0,160541,0,0,0,0,138793,0,0,1588038,21041,1705790,0,0,0,1726831,"1600000US2660460","township of olive","HOLLAND","OTTAWA"
"118","MI","albee township","23307300100000",103965,2020,3109909,3109000,909,0,0,0,0,0,0,0,0,355859,0,0,606910,186354,776415,0,0,0,962769,"1600000US2600920","township of albee","BURT","SAGINAW"
"119","IL","aurora township","14304500100000",71238,2020,0,0,0,0,0,0,2784,0,0,0,0,46849,645625,573832,6529076,1220249,6575133,0,0,0,7795382,"1600000US1703025","township of aurora","AURORA","KANE"
"120","IL","bloomington township","14305780100000",92129,2020,0,0,0,0,0,0,400091,0,0,0,32801,18341,0,0,2102247,271851,1848737,0,0,0,2120588,"1600000US1706639","township of bloomington city","BLOOMINGTON","MCLEAN"
"121","ME","newburgh","20301004500000",106420,2020,1511208,1466666,37052,0,0,0,0,0,7490,0,0,9528,45000,26532,2317802,195320,2203542,0,0,0,2398862,"1600000US2348505","town of newburgh","NEWBURGH","PENOBSCOT"
"122","ME","great pond","20300502500000",106344,2020,119794,0,60,0,119734,0,0,0,0,0,0,8106,0,0,336987,48357,296736,0,0,0,345093,"1600000US2328975","town of great pond","GREAT POND","HANCOCK"
"123","ME","marshfield","20301502800000",106397,2020,45764,31383,14381,0,0,0,0,0,0,0,0,5829,504687,0,809515,-54130,1374161,0,0,0,1320031,"1600000US2343640","town of marshfield","MARSHFIELD","WASHINGTON"
"124","ME","owl's head","20300700900000",106436,2020,231037,31146,12166,0,168892,0,0,0,18833,0,0,77977,22156,0,5193269,276860,5016542,0,0,0,5293402,"1600000US2356135","town of owls head","OWLS HEAD","KNOX"
"125","ME","levant","20301003600000",106379,2020,225242,0,133786,0,0,0,84085,0,0,0,7371,11993,42225,0,3193713,-258612,3506543,0,0,0,3247931,"1600000US2338705","town of levant","LEVANT","PENOBSCOT"
"126","MI","greenbush township","23301900900000",155010,2020,4972,0,4972,0,0,0,0,0,0,0,0,9760,4893,0,346496,44205,316944,0,0,0,361149,"1600000US2634840","township of greenbush","SAINT JOHNS","CLINTON"
