,state,name,census_id,id,year,category,total_assets,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
37,MI,State of Michigan,NA,80814,2021,General Purpose,32448221000,38108406000,7505300000,11540044000,400500000,0,80700000,7.65E+09,0,7778200000,0,459700000,22549697000,29879020000,981719000,37877299000,6724358000,84563377000,5057975000,360000,0,91287735000,FALSE
38,AL,State of Alabama,NA,31550,2021,General Purpose,42222752000,15007563000,6067908000,3279338000,103982000,68502000,0,3976285000,0,987056000,0,334749000,3250354000,13610806000,1064082000,15650728000,3500769000,30075201000,249846000,1530160000,0,33575970000,FALSE
39,AK,State of Alaska,NA,31574,2021,General Purpose,107833000000,16726973000,1374829000,8741798000,211165000,0,3859000,5089994000,20031000,3405000,548581000,203580000,1789873000,4904678000,831826000,20941062000,16150304000,12317135000,121978000,614000,58343000,28467439000,FALSE
40,MA,Commonwealth of Massachusetts,NA,149462,2021,General Purpose,49237322000,131000000000,45393477000,14272168000,22984000,0,0,47141778000,0,19694477000,0,984935000,16895110000,41157556000,252110000,36018716000,-858033000,95181525000,1608603000,17208485000,0,94323492000,FALSE
41,CT,State of Connecticut,NA,149448,2021,General Purpose,43684541000,107000000000,29770530000,5205641000,16511000,0,0,42551460000,0,26040226000,0,791037000,6035058000,16776285000,998284000,21562279000,-1644473000,47016379000,0,0,0,45371906000,FALSE
42,NJ,State of New Jersey,NA,40624,2021,General Purpose,68747889935,262000000000,2.67E+10,13172773909,4.17E+08,1.28E+09,0,95235061386,614336,1.02E+11,0,6.15E+08,12105245287,41729823608,190989312,43271051015,3758293186,93538816036,0,0,0,97297109222,FALSE
43,HI,State of Hawaii,NA,71062,2021,General Purpose,43684541000,32322093000,12160159000,3997605000,319468000,717096000,2.00E+08,7814788000,0,6516876000,0,293786000,1594865000,8236938000,83411000,7818383000,-1626184000,19359781000,0,0,0,17733597000,FALSE
44,MD,State of Maryland,NA,149463,2021,General Purpose,61056557000,70729931000,21512555000,11279016000,537356000,0,0,20663518000,0,15681628000,0,412144000,11140230000,26436860000,902584000,24801845000,2224808000,61056711000,231755000,192003000,0,63281519000,FALSE
45,VT,State of Vermont,NA,39343,2021,General Purpose,6455181544,7550556312,711491377,985651963,8861948,0,0,3043700350,0,2660856831,0,44879014,839580196,4090945732,200229503,3932704623,263903362,8799556692,0,0,0,9063460054,FALSE
46,DE,State of Delaware,NA,32212,2021,General Purpose,16440516000,19185075000,3894611000,2491186000,0,243447000,18769000,1726785000,0,9564690000,0,242235000,2374123000,4833933000,336418000,6012714000,253418000,13303770000,0,0,0,13557188000,FALSE
47,WY,State of Wyoming,NA,40122,2021,General Purpose,32081120603,9272163993,11047303,6035179638,353388,0,0,432262923,970439,527492619,0,64129637,844961319,2557687418,8000959,4934468839,2630323172,5714795363,0,0,0,8345118535,FALSE
48,AZ,State of Arizona,NA,40623,2021,General Purpose,63302682000,27669843000,6345131000,6938052000,230580000,251790000,184460000,6262883000,0,1585805000,37328000,506854000,6616822000,34277931000,731886000,21367940000,6683700000,56310879000,0,0,0,62994579000,FALSE
49,MS,State of Mississippi,NA,95852,2021,General Purpose,30241359000,13476966000,4743624000,2583039000,6406000,0,1084932000,3482249000,0,176455000,0,0,2763455000,11808010000,609953000,8712382000,2054600000,21839200000,0,0,0,23893800000,FALSE
50,NM,State of New Mexico,NA,82166,2021,General Purpose,58617130000,20216469000,3538922000,4117189000,173000,207702000,9325000,9465093000,16932000,1419224000,0,208090000,6110272000,13518524000,512388000,15573022000,8229105000,27485101000,0,0,0,35714206000,FALSE
51,WV,State of West Virginia,NA,39745,2021,General Purpose,23819363000,13009788000,3596081000,516932000,218395000,0,0,3450088000,99169000,285156000,0,98971000,1516535000,7347681000,508221000,8564756000,1969482000,15967711000,0,0,0,17937193000,FALSE
