"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","sumlev","state","county_code","place","cousub","concit","funcstat","state.name","population"
"126","NJ","burlington county","31100300300000",43512,2020,1018829120,237070000,0,132543000,3204505,133365000,152861939,0,252861192,0,0,0,0,0,301970442,16895231,285075211,0,0,0,301970442,50,34,5,0,0,0,"A","New Jersey",461648
"127","PA","york county","39106706600000",43179,2020,448442754,268237213,94432251,0,0,0,22364438,0,53979053,0,6030546,58573140,304295769,0,177543307,37424904,502987312,0,0,0,540412216,50,42,133,0,0,0,"A","Pennsylvania",456692
"128","CA","solano county","05104804700000",165554,2020,818256437,20375000,95791266,0,0,3721859,557869129,0,15935270,0,35176643,82181997,398817569,867300,222576905,-31471641,735915412,0,0,0,704443771,50,6,95,0,0,0,"A","California",452698
"129","CA","santa barbara county","05104204100000",31715,2020,1318567000,12028000,130072000,1075000,0,0,788048000,0,109251000,0,40833000,307517000,385001000,81000,362239000,48743000,1006095000,0,0,0,1054838000,50,6,83,0,0,0,"A","California",448244
"130","MN","dakota county","24101901900000",34717,2020,185214067,0,33017858,0,0,0,111134223,0,12108677,0,23776570,25901691,183952498,16586747,201459282,60917713,366982505,0,0,0,427900218,50,27,37,0,0,0,"A","Minnesota",440393
"131","LA","jefferson parish","19102602500000",116208,2020,1296623000,564664000,84769000,0,86135000,0,116728000,7121000,175147000,0,25549000,125704000,93478000,21787000,513064000,129728000,624305000,0,0,0,754033000,50,22,51,0,0,0,"A","Louisiana",439712
"132","CA","monterey county","05102702700000",31695,2020,1313721737,24615807,184943107,13938911,0,22444000,693581639,0,39702617,0,58012254,482405997,472306026,74489257,289683563,70538388,1248346455,0,0,0,1318884843,50,6,53,0,0,0,"A","California",438390
"133","FL","sarasota county","10105805800000",44026,2020,1317150599,487720188,92495963,0,33000926,127307563,471058541,0,9295695,3657947,32319140,293237823,81655235,157717195,417845542,146481728,803974067,118793185,5728343,34599861,950455795,50,12,115,0,0,0,"A","Florida",436207
"134","OH","lucas county","36104804800000",83604,2020,661372873,105539900,51055662,282901,32343075,0,223875481,2186317,154003949,0,23765959,84588908,178437334,3786930,260082089,40622806,486272455,0,0,0,526895261,50,39,95,0,0,0,"A","Ohio",430834
"135","AZ","pinal county","03101101100000",31620,2020,510538000,238574000,35431000,447000,0,0,220564000,0,625000,1913000,13248000,42694000,66876000,28496000,213430000,69253000,282243000,0,0,0,351496000,50,4,21,0,0,0,"A","Arizona",429446
"136","PA","berks county","39100600600000",42976,2020,266192215,163083168,74945406,0,0,232688,0,25466856,0,0,9749209,98012072,279667695,4806505,160249737,41829613,500906397,0,0,0,542736010,50,42,11,0,0,0,"A","Pennsylvania",428631
"137","NH","hillsborough county","30100600600000",81896,2020,66445379,0,10460033,0,0,0,44534563,0,11450783,0,0,31232973,20755486,0,56400289,2026814,106361934,0,0,0,108388748,50,33,11,0,0,0,"A","New Hampshire",422883
"138","VA","loudoun county","47105405400000",230359,2020,2693348240,1219786141,564122213,643363204,0,0,133861541,0,60669020,47209,33094376,71163012,100736618,37125894,1752115254,50163541,1910977237,0,0,0,1961140778,50,51,107,0,0,0,"A","Virginia",422669
"139","OR","clackamas county","38100300300000",103171,2020,741784482,271223726,46501385,0,21954295,2581957,295381903,0,61377713,0,17971186,150740708,221219638,28167113,206125450,-27221384,633474293,0,0,0,606252909,50,41,5,0,0,0,"A","Oregon",422444
"140","TX","cameron county","44103103100000",38619,2020,255004610,164337897,35334401,3920877,0,6150896,11947765,0,30233502,0,2977940,65701598,25328329,1879776,92567120,-7338806,192815629,0,0,0,185476823,50,48,61,0,0,0,"A","Texas",421445
"141","SC","richland county","41104004000000",38271,2020,765382337,181447978,74362271,1254634,125000000,0,203728119,0,165057215,0,11170930,70252346,28128763,1146392,294805869,14035593,380297777,0,0,0,394333370,50,45,79,0,0,0,"A","South Carolina",415645
"142","AL","mobile county","01104904900000",40888,2020,321176640,0,26154882,0,0,0,70270770,0,39484601,0,8222826,22030565,45693578,2600115,181025356,32420779,218928835,0,0,0,251349614,50,1,97,0,0,0,"A","Alabama",414353
"143","SC","charleston county","41101001000000",38258,2020,1230883573,777670345,56135366,1993378,0,18830095,273199142,0,74602421,0,17131030,109863494,44043238,5416823,407430906,61097209,505657252,0,0,0,566754461,50,45,19,0,0,0,"A","South Carolina",409716
"144","WI","waukesha county","50106806800000",39876,2020,125205616,0,24549916,0,0,86421784,0,20115248,0,0,6157295,52833970,70826154,6743815,134387071,17987164,246803846,0,0,0,264791010,50,55,133,0,0,0,"A","Wisconsin",407467
"145","MO","st charles county","26109209200000",35116,2020,88764770,38568032,30049571,26250,2033000,0,4819089,0,3499320,0,6387290,29238682,78313829,3351153,148313114,47637860,211578918,0,0,0,259216778,50,29,183,0,0,0,"A","Missouri",406385
"146","CA","placer county","05103103100000",165547,2020,1012961000,65478000,68219000,5630000,135257000,0,633985000,0,33366000,0,51149000,133296000,328096000,2905000,286363000,31116000,719544000,860000,12820000,1375000,750660000,50,6,61,0,0,0,"A","California",405889
"147","MI","genesee county","23102502500000",34260,2020,780871823,85810784,16823232,0,0,0,129451579,0,539640311,0,4928441,35683926,79165185,0,119025495,-1712532,235587138,0,0,0,233874606,50,26,49,0,0,0,"A","Michigan",405757
"148","FL","manatee county","10104104100000",148131,2020,1062823000,408723000,115321000,0,5661000,1308000,401051000,0,35340000,0,38907000,326196000,35442000,84581000,401547000,132603000,715163000,0,0,0,847766000,50,12,81,0,0,0,"A","Florida",401593
"149","NY","orange county","33103603300000",35997,2020,2095953060,295904266,113913819,0,0,0,164699754,0,1464335438,0,15311436,115523157,164209760,9611880,431718381,-104897779,825960957,0,0,0,721063178,50,36,71,0,0,0,"A","New York",401088
