"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","x2020_urban_pop","x2020_pct_urban_pop","npl_person","avg_npl_person"
"78","RI","rhode island",38202,2021,10147273000,3084068000,2702862000,137444000,0,0,3693920000,0,345350000,11226000,89157000,2040593000,6391181000,282976000,4280460000,659590000,12335620000,0,0,0,12995210000,NA,44,1097371,999191,91.0524987265111,3366,2207
"79","UT","utah",39282,2021,7729825000,3911629000,2806348000,25624000,0,134000,411417000,0,608000,0,217280000,2585041000,7776975000,154058000,11253186000,3664833000,18104427000,67872000,858000,0,21769260000,NA,49,3271614,2937303,89.7814107768149,126,2207
"80","WI","wisconsin",39818,2021,28571435000,12824044000,10165101000,28052000,12824044000,217939000,0,1756036000,1327648000,249006000,2716624000,9448722000,18495066000,1020529000,20844549000,3208622000,46600244000,0,0,0,49808866000,NA,55,5893725,3953691,67.0831383517162,0,2207
"81","WA","washington",39528,2021,86950922000,27731386000,10068030000,4995000,0,0,2509635000,2467388000,6051091000,0,967603000,19952732000,34458593000,648888000,33609591000,3655115000,85014689000,0,0,0,88669804000,NA,53,7705247,6424035,83.3718458807667,326,2207
"82","DC","district of columbia",47298,2021,18144143000,12656287000,4111604000,70380000,407223000,163665000,0,2056646000,0,313355000,324082000,1184058000,7137868000,309217000,9738925000,825861000,17544207000,0,0,0,18370068000,NA,11,689546,689545,100,0,2207
"83","NV","nevada",35504,2021,13758375000,2992919000,6954942000,7542000,0,0,2354763000,0,882306000,0,128833000,1101663000,12874090000,7317000,6141433000,192747000,19931756000,0,0,0,20124503000,NA,32,3104624,2921203,94.0923090599991,758,2207
"84","MI","michigan",80814,2021,38108406000,7505300000,11540044000,400500000,0,80700000,7651000000,0,7778200000,0,459700000,22549697000,29879020000,981719000,37877299000,6724358000,84563377000,5057975000,360000,0,91287735000,NA,26,10077325,7404258,73.4743951548282,759,2207
"85","AL","alabama",31550,2021,15007563000,6067908000,3279338000,103982000,68502000,0,3976285000,0,987056000,0,334749000,3250354000,13610806000,1064082000,15650728000,3500769000,30075201000,249846000,1530160000,0,33575970000,NA,1,5024356,2900880,57.7372395123758,791,2207
"86","MA","massachusetts",149462,2021,131059556000,45393477000,14272168000,22984000,0,0,47141778000,0,19694477000,0,984935000,16895110000,41157556000,252110000,36018716000,-858033000,95181525000,1608603000,17208485000,0,94323492000,NA,25,7029949,6416895,91.2798116962121,6706,2207
"87","AK","alaska",31574,2021,16726973000,1374829000,8741798000,211165000,0,3859000,5089994000,20031000,3405000,548581000,203580000,1789873000,4904678000,831826000,20941062000,16150304000,12317135000,121978000,614000,58343000,28467439000,NA,2,733378,475967,64.899487449396,6940,2207
"88","CT","connecticut",149448,2021,106761347000,29770530000,5205641000,16511000,0,0,42551460000,0,26040226000,0,791037000,6035058000,16776285000,998284000,21562279000,-1644473000,47016379000,0,0,0,45371906000,NA,9,3605942,3110153,86.2507293513155,11800,2207
"89","NJ","new jersey",40624,2021,262003072072,26668000000,13172773909,417000000,1279000000,0,95235061386,614336,101605641478,0,615000000,12105245287,41729823608,190989312,43271051015,3758293186,93538816036,0,0,0,97297109222,NA,34,9289031,8708779,93.7537369493403,10252,2207
"90","DE","delaware",32212,2021,19185075000,3894611000,2491186000,0,243447000,18769000,1726785000,0,9564690000,0,242235000,2374123000,4833933000,336418000,6012714000,253418000,13303770000,0,0,0,13557188000,NA,10,989957,817817,82.6121170000849,1744,2207
"91","WY","wyoming",40122,2021,9272163993,11047303,6035179638,353388,0,0,432262923,970439,527492619,0,64129637,844961319,2557687418,8000959,4934468839,2630323172,5714795363,0,0,0,8345118535,NA,56,576837,357750,62.017748083994,749,2207
"92","HI","hawaii",71062,2021,32322093000,12160159000,3997605000,319468000,717096000,200000000,7814788000,0,6516876000,0,293786000,1594865000,8236938000,83411000,7818383000,-1626184000,19359781000,0,0,0,17733597000,NA,15,1455273,1252450,86.0630081957244,5370,2207
"93","MD","maryland",149463,2021,70729931000,21512555000,11279016000,537356000,0,0,20663518000,0,15681628000,0,412144000,11140230000,26436860000,902584000,24801845000,2224808000,61056711000,231755000,192003000,0,63281519000,NA,24,6177213,5288760,85.6170992018421,3345,2207
"94","VT","vermont",39343,2021,7550556312,711491377,985651963,8861948,0,0,3043700350,0,2660856831,0,44879014,839580196,4090945732,200229503,3932704623,263903362,8799556692,0,0,0,9063460054,NA,50,643085,225850,35.1202111100226,4733,2207
"95","AZ","arizona",40623,2021,27669843000,6345131000,6938052000,230580000,251790000,184460000,6262883000,0,1585805000,37328000,506854000,6616822000,34277931000,731886000,21367940000,6683700000,56310879000,0,0,0,62994579000,NA,4,7151507,6385230,89.2851599566077,876,2207
"96","MS","mississippi",95852,2021,13476966000,4743624000,2583039000,6406000,0,1084932000,3482249000,0,176455000,0,0,2763455000,11808010000,609953000,8712382000,2054600000,21839200000,0,0,0,23893800000,NA,28,2961288,1370790,46.2904711106248,1176,2207
"97","NM","new mexico",82166,2021,20216469000,3538922000,4117189000,173000,207702000,9325000,9465093000,16932000,1419224000,0,208090000,6110272000,13518524000,512388000,15573022000,8229105000,27485101000,0,0,0,35714206000,NA,35,2117527,1578552,74.5471357558505,4470,2207
"98","WV","west virginia",39745,2021,13009788000,3596081000,516932000,218395000,0,0,3450088000,99169000,285156000,0,98971000,1516535000,7347681000,508221000,8564756000,1969482000,15967711000,0,0,0,17937193000,NA,54,1793755,800857,44.647926427595,1923,2207
"99","CA","california",31665,2021,480810792000,109884676000,142649833000,695893000,19815357000,1577454000,94255760000,0,93951696000,0,5907133000,72682113000,271361440000,1847263000,228081965000,4954588000,569018193000,0,0,0,573972781000,NA,6,39538245,37259490,94.2366327389068,2384,2207
"100","ND","north dakota",1241002,2021,10188478469,1805007000,5110750872,53251000,0,215145000,1671265000,31122000,42116000,0,93441000,2635715227,5033307761,17610105,5649540425,3504186048,9831987470,248655000,0,0,13336173518,NA,38,779091,474989,60.9668409716928,2145,2207
"101","OK","oklahoma",37320,2021,0,0,0,0,0,0,0,0,0,0,0,3575443000,9908854000,-9494043000,1206810000,716970000,22793625000,0,0,0,23510595000,NA,40,3959346,2558611,64.6219470706451,0,2207
