"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geoID","population","city_place"
"5757","NY","mount kisco","33206001200000",82392,2020,78208591,22251572,7267243,10075,0,11580000,10440009,0,25462670,0,1082680,8885857,225827,150959,19784780,591288,28456135,0,0,0,29047423,"1600000US3648890",10959,"Mount Kisco village"
"5758","NJ","hawthorne","31201600400000",121703,2020,65929639,16854000,0,0,522715,1924000,21399524,0,0,0,0,0,0,0,88366763,2893318,85473445,0,0,0,88366763,"1600000US3430570",19637,"Hawthorne borough"
"5759","NY","scarsdale","33206002400000",122464,2020,220208169,25955196,8624052,0,1265000,0,29286366,0,148766107,0,5120471,17328289,210547,1499006,48713232,-10004644,77755718,0,15223,0,67751074,"1600000US3665431",18253,"Scarsdale village"
"5760","TX","pharr","44210801000000",38685,2020,190784405,73879063,10789014,10269406,0,12415314,6683755,0,1384035,0,6388818,45423118,17384985,7855584,49259819,24840496,95083010,16208278,5372675,595939,119923506,"1600000US4857200",79715,"Pharr city"
"5761","NV","boulder city","29200200400000",35521,2020,73548772,23495000,9403941,106401,0,0,33532317,0,1159542,0,4386955,57391502,767468,17355465,21266342,30755661,66025116,0,0,0,96780777,"1600000US3206500",14885,"Boulder City city"
"5762","IA","hamburg","16203600200000",113676,2020,0,0,0,0,0,471366,220316,0,0,0,0,260231,1055886,2830651,1274263,529708,4891323,0,0,0,5421031,"1600000US1933780",890,"Hamburg city"
"5763","NJ","new milford","31200203600000",121528,2020,29517197,7430000,0,0,357971,0,7712526,0,14937759,0,2187179,0,0,0,63585611,1566069,62019542,0,0,0,63585611,"1600000US3451660",16923,"New Milford borough"
"5764","NJ","linden","31202000500000",1036488,2020,131045723,41939000,0,0,2707703,14036444,124523280,0,115678842,0,788175,0,0,0,239808522,6220254,233588268,0,0,0,239808522,"1600000US3440350",43738,"Linden city"
"5765","WI","fitchburg","50201340100000",131192,2020,79425737,65050657,11362096,0,0,0,0,0,0,0,3012984,10984925,2708604,20081383,36080775,20710067,49145620,0,0,0,69855687,"1600000US5525950",29609,"Fitchburg city"
"5766","NY","port chester","33206002200000",122462,2020,197949107,43408881,4327776,0,4281997,4958000,19777786,0,114183154,0,6022632,8837779,214339,183588,36732568,-6059694,52027968,0,0,0,45968274,"1600000US3659223",31693,"Port Chester village"
