"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","name_census","state.name","population"
"4857","MO","malden","26203500800000",119807,2021,6301986,813276,1050112,717019,3574919,0,0,3757995,0,0,0,7059983,0,833105,3381925,-756549,12031562,0,0,0,11275013,"2945614","city of malden",162,"29","000","45614","00000",0,"A","malden city","Missouri",3710
"4858","MO","mansfield","26211500200000",120404,2021,1940357,1716062,0,224295,0,0,0,0,0,0,0,2841710,123318,991216,456874,1163617,3249501,0,0,0,4413118,"2945740","city of mansfield",162,"29","000","45740","00000",0,"A","mansfield city","Missouri",1193
"4859","MO","rolla","26208100500000",196926,2021,44120762,17842767,7743713,1830846,0,122236,0,13071076,9293425,0,1395289,21911671,1159947,326687,16792607,6420559,33770353,0,0,0,40190912,"2962912","city of rolla",162,"29","000","62912","00000",0,"A","rolla city","Missouri",19934
"4860","MO","kansas city","26204800600000",43771,2021,6184292000,4291256000,442597000,0,2585000,71131000,1093020000,0,93377000,0,52431000,824967000,216957000,92442000,792688000,-98536000,2025590000,0,0,0,1927054000,"2938000","city of kansas city",162,"29","000","38000","00000",0,"A","kansas city city","Missouri",507971
"4861","MO","webster groves","26209509000000",120274,2021,12838661,6753464,3018210,0,0,0,0,8159469,1241954,0,1825033,4672210,3237643,624680,16785214,3172346,22147401,0,0,0,25319747,"2978154","city of webster groves",162,"29","000","78154","00000",0,"A","webster groves city","Missouri",23997
"4862","IL","palatine","14201607300000",92805,2021,153607988,42890124,12743015,0,0,45682,79638617,1973094,14405845,0,1676295,34647928,3570636,1854056,69718118,31365209,78425529,0,0,0,109790738,"1757225","village of palatine",162,"17","000","57225","00000",0,"A","palatine village","Illinois",67899
"4863","MS","ridgeland","25204500400000",34952,2021,118298335,76095370,8559773,771169,0,6149540,25747520,0,0,0,974963,13809532,668744,2601394,31849970,3717331,45212309,0,0,0,48929640,"2862520","city of ridgeland",162,"28","000","62520","00000",0,"A","ridgeland city","Mississippi",24664
"4864","IL","morton township","14309001400000",73122,2021,0,0,0,0,0,0,0,0,0,0,0,79255,0,0,1326366,340556,1065065,0,0,0,1405621,"1750634","township of morton",61,"17","179",NA,"50634",0,"A","morton township","Illinois",17770
"4865","MT","whitefish","27201500300000",120658,2021,48725716,30921187,4595864,154249,278411,0,8796978,0,1961860,0,2017167,17038920,1785453,2411352,12195145,9098528,24332342,0,0,0,33430870,"3079825","city of whitefish",162,"30","000","79825","00000",0,"A","whitefish city","Montana",7746
"4866","CT","madison","07300500800000",32152,2021,70147518,21203305,5773847,1628733,0,0,11647935,0,27010475,0,1264858,4115770,21181447,0,85292508,3813411,106776314,0,0,0,110589725,"0944560","town of madison",61,"09","170",NA,"44560",0,"A","madison town","Connecticut",17691
