"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","name_midfile","geo_id","population","urban_pop","pct_urban_pop"
"25","SC","south carolina",38235,2021,15940670000,1779886000,4761001000,6306000,0,71178000,4433241000,0,3665935000,0,209452000,4746896000,16276411000,728616000,16130654000,4292955000,33589622000,0,0,0,37882577000,NA,"45",5118429,3477869,67.948030888408
"26","RI","rhode island",38202,2021,10147273000,3084068000,2702862000,137444000,0,0,3693920000,0,345350000,11226000,89157000,2040593000,6391181000,282976000,4280460000,659590000,12335620000,0,0,0,12995210000,NA,"44",1097371,999191,91.0524987265111
"27","UT","utah",39282,2021,7729825000,3911629000,2806348000,25624000,0,134000,411417000,0,608000,0,217280000,2585041000,7776975000,154058000,11253186000,3664833000,18104427000,67872000,858000,0,21769260000,NA,"49",3271614,2937303,89.7814107768149
"28","WA","washington",39528,2021,86950922000,27731386000,10068030000,4995000,0,0,2509635000,2467388000,6051091000,0,967603000,19952732000,34458593000,648888000,33609591000,3655115000,85014689000,0,0,0,88669804000,NA,"53",7705247,6424035,83.3718458807667
"29","WI","wisconsin",39818,2021,28571435000,12824044000,10165101000,28052000,12824044000,217939000,0,1756036000,1327648000,249006000,2716624000,9448722000,18495066000,1020529000,20844549000,3208622000,46600244000,0,0,0,49808866000,NA,"55",5893725,3953691,67.0831383517162
"30","LA","louisiana",90240,2021,37286338000,8452875000,11000094000,2009000,0,26573000,7652518000,0,6249082000,0,238418000,3283718000,26131910000,666244000,13083564000,1037130000,42128306000,4756591000,93646000,0,43165436000,NA,"22",4657749,3332237,71.5416669439818
"31","DC","district of columbia",47298,2021,18144143000,12656287000,4111604000,70380000,407223000,163665000,0,2056646000,0,313355000,324082000,1184058000,7137868000,309217000,9738925000,825861000,17544207000,0,0,0,18370068000,"city of washington dc","11",689546,689545,100
"32","NV","nevada",35504,2021,13758375000,2992919000,6954942000,7542000,0,0,2354763000,0,882306000,0,128833000,1101663000,12874090000,7317000,6141433000,192747000,19931756000,0,0,0,20124503000,NA,"32",3104624,2921203,94.0923090599991
"33","MI","michigan",80814,2021,38108406000,7505300000,11540044000,400500000,0,80700000,7651000000,0,7778200000,0,459700000,22549697000,29879020000,981719000,37877299000,6724358000,84563377000,5057975000,360000,0,91287735000,NA,"26",10077325,7404258,73.4743951548282
"34","AL","alabama",31550,2021,15007563000,6067908000,3279338000,103982000,68502000,0,3976285000,0,987056000,0,334749000,3250354000,13610806000,1064082000,15650728000,3500769000,30075201000,249846000,1530160000,0,33575970000,NA,"01",5024356,2900880,57.7372395123758
