"","state.abb","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","state.name","population"
"34","PA","allegheny county",37703,2020,3045677641,1012287685,301434463,3870322,0,0,1648275854,0,57453399,0,10556597,75074068,1458756562,35559335,435718301,-187652833,2192761099,0,0,0,2005108266,"42003",NA,50,"42","003",NA,"00000",0,"A","Pennsylvania",1250585
"35","UT","salt lake county",39288,2020,958229946,504958525,163875936,4745498,0,70682811,75995899,0,95202533,0,28954974,226374240,304283063,2987822,799342870,104083513,1228904482,0,0,0,1332987995,"49035",NA,50,"49","035",NA,"00000",0,"A","Utah",1185236
"36","CA","contra costa county",165557,2020,2611861000,126605000,556090000,258037000,0,1080000,677976000,0,523933000,236000,92573000,1894166000,1021424000,40990000,782125000,315039000,3423666000,0,0,0,3738705000,"06013",NA,50,"06","013",NA,"00000",0,"A","California",1165927
"37","VA","fairfax county",230306,2020,7213251402,3890750316,602285356,7525762,0,439073057,1838029525,0,136090113,0,153611412,917274574,346819376,43324953,4177009292,-48831469,5533259664,0,0,0,5484428195,"51059",NA,50,"51","059",NA,"00000",0,"A","Virginia",1150305
"38","NC","wake county",36674,2020,3533852433,2384388875,289701442,32305,0,275320595,115220710,1917781,415753783,0,16515621,115235949,130757498,0,1443608747,-22507974,1712110168,0,0,0,1689602194,"37183",NA,50,"37","183",NA,"00000",0,"A","North Carolina",1129393
"39","NC","mecklenburg county",36607,2020,2678783023,1712044188,237829916,3151120,524560,0,137831581,1320744,514883109,0,36921453,171632573,160843787,866417,1536148056,5871750,1863619083,0,0,0,1869490833,"37119",NA,50,"37","119",NA,"00000",0,"A","North Carolina",1115526
"40","GA","fulton county",169817,2020,3257955000,1019637000,98554000,50536000,0,0,333578000,0,1675472000,0,47787000,228532000,165492000,6001000,734472000,27481000,1107016000,0,0,0,1134497000,"13121",NA,50,"13","121",NA,"00000",0,"A","Georgia",1066702
"41","TX","collin county",38621,2020,665516189,537131000,116609392,0,0,0,0,32523900,0,0,9374000,52572536,119249345,6652043,273398852,71754044,380118732,0,0,0,451872776,"48085",NA,50,"48","085",NA,"00000",0,"A","Texas",1066465
"42","MD","montgomery county",33967,2020,6415638072,3588542269,808532471,2820000,0,604379284,106518934,0,825636740,0,92651456,739082234,259057362,71022023,4013545791,241377004,4841330406,0,0,0,5082707410,"24031",NA,50,"24","031",NA,"00000",0,"A","Maryland",1062054
"43","AZ","pima county",31619,2020,1970239000,722521000,171786000,0,0,2869000,776192000,0,4058000,4588000,40446000,263938000,175720000,48608000,700588000,108999000,1079855000,0,0,0,1188854000,"04019",NA,50,"04","019",NA,"00000",0,"A","Arizona",1043434
"44","HI","honolulu county",111562,2020,11985749000,6464483000,346028000,0,0,296366000,2665559000,0,1871583000,0,139829000,1021786000,217051000,321695000,1659217000,427030000,2792719000,10656000,2393000,0,3219749000,"15003","city and county of honolulu",50,"15","003",NA,"00000",0,"A","Hawaii",1016506
