"","state.abb","name","government_id","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","geo_id","name_midfile","sumlev","state","county","place","cousub","concit","funcstat","census_name","state.name","population","Median_Household_Income_2021"
"32","CA","folsom","05203400100000",43239,2022,422340481,126224051,38960733,0,0,43693000,119048848,0,88657385,0,4815058,111013153,6928500,29535707,19535651,5243664,161769346,0,0,0,167013011,"0624638","city of folsom",162,"06","000","24638","00000",0,"A","folsom city","California",80463,125010
"33","CA","pico rivera","05201950800000",31804,2022,121025971,37425139,20855500,0,0,0,28456842,0,16441514,0,1757452,35243984,27038050,5387593,47657449,25955125,89371951,11180400,0,0,115327076,"0656924","city of pico rivera",162,"06","000","56924","00000",0,"A","pico rivera city","California",62079,NA
"34","CA","poway","05203760100000",67738,2022,128698852,58936214,17227264,0,0,0,39764532,0,0,0,2328418,55931703,12113361,471112,45869717,10345132,104040761,29690399,0,0,114385893,"0658520","city of poway",162,"06","000","58520","00000",0,"A","poway city","California",48837,NA
"35","CA","redlands","05203600800000",31846,2022,384819184,9581309,32158678,0,0,15208328,86499183,0,201915922,0,8782282,83311828,4855376,34568093,135780480,93350231,165165546,30450320,0,3095963,258515777,"0659962","city of redlands",162,"06","000","59962","00000",0,"A","redlands city","California",73170,87634
"36","CA","riverside","05203301200000",31836,2022,2363237000,1668549000,219146000,0,0,59948000,0,140293000,48770000,0,41849000,639546000,56244000,59035000,291401000,171843000,874383000,397947000,0,7667000,1046226000,"0662000","city of riverside",162,"06","000","62000","00000",0,"A","riverside city","California",315014,76558
"37","CA","modesto","05205000200000",31888,2022,758381147,257309207,102228811,0,27208920,985000,249803716,0,29551870,0,11962073,215170683,16997072,15288882,186394207,82661652,351189192,0,0,0,433850844,"0648354","city of modesto",162,"06","000","48354","00000",0,"A","modesto city","California",218467,70469
"38","CA","monrovia","05201903100000",31787,2022,204619709,164410741,8325604,0,956739,0,0,36811201,26151006,0,3452163,34257474,20131563,1146062,52575374,74501946,33608527,0,0,0,108110473,"0648648","city of monrovia",162,"06","000","48648","00000",0,"A","monrovia city","California",37937,NA
"39","CA","ontario","05203600700000",31845,2022,693424241,460708167,109763536,0,50333817,0,0,150460651,0,12152353,20412795,288969854,52579490,44706566,257458159,207630466,436083603,72949443,0,538336,643714069,"0653896","city of ontario",162,"06","000","53896","00000",0,"A","ontario city","California",175266,73872
"40","CA","colusa","05200600100000",31748,2022,26329683,0,724801,0,19627020,0,5131378,0,584359,0,243978,6066381,1167906,5780,4205770,-427469,11873306,0,0,0,11445837,"0614946","city of colusa",162,"06","000","14946","00000",0,"A","colusa city","California",6404,NA
"41","CA","san pablo","05200701000000",31751,2022,107988559,52433481,5533608,0,618912,0,30335478,0,3225792,0,2119694,3551123,6883452,7428316,52743434,11420006,59186319,0,0,0,70606325,"0668294","city of san pablo",162,"06","000","68294","00000",0,"A","san pablo city","California",32122,NA
"42","CA","willows","05201100200000",96345,2022,20121766,7985000,1492771,0,573500,0,0,4387531,108114,0,52362,1754507,4485048,0,4236112,9166715,1308952,0,0,0,10475667,"0685684","city of willows",162,"06","000","85684","00000",0,"A","willows city","California",6290,NA
"43","CA","woodlake","05205400700000",31893,2022,22220535,2192000,3141290,0,14934739,0,1672863,0,0,0,279643,5841630,1339696,3714517,3708035,4659587,9944291,0,0,0,14603878,"0686300","city of woodlake",162,"06","000","86300","00000",0,"A","woodlake city","California",7431,NA
"44","CA","orange","05203001300000",42627,2022,414709672,312283755,30956144,0,303679,0,0,113873213,44353963,0,10478070,70807045,19559089,7934114,146784955,40079699,205005504,8318717,0,0,245085203,"0653980","city of orange",162,"06","000","53980","00000",0,"A","orange city","California",139902,103045
"45","CA","lakewood","05201902300000",31782,2022,54194664,0,21981249,0,0,0,21644913,0,1147037,0,2064559,25755828,13575994,2957680,52267752,21327860,73229394,13787798,0,0,94557254,"0639892","city of lakewood",162,"06","000","39892","00000",0,"A","lakewood city","California",82497,104534
"46","CA","farmersville","05205450100000",96339,2022,19074694,0,1770099,0,11166917,0,328839,0,0,0,867538,4585432,2398960,11836085,9033344,16810372,11043449,0,0,0,27853821,"0623616","city of farmersville",162,"06","000","23616","00000",0,"A","farmersville city","California",10408,NA
"47","CA","crescent","05200800100000",31754,2022,43902129,0,2684374,0,32780590,0,7521405,0,545320,0,370440,9600335,5833173,171232,7377705,1447406,21535039,5064751,0,0,22982445,"0617022","city of crescent city",162,"06","000","17022","00000",0,"A","crescent city city","California",6673,NA
"48","CA","solvang","05204240100000",67887,2022,5045754,0,788513,0,0,0,2596064,0,1395429,0,265748,8228355,3713088,306673,9972357,3947862,18272611,5231784,0,166715,22220473,"0672576","city of solvang",162,"06","000","72576","00000",0,"A","solvang city","California",6126,NA
"49","CA","santa clarita","05201940200000",31800,2022,198521702,75762441,63054641,0,0,129277,0,432938,0,2071568,4214133,78217204,50180833,82029431,111900848,112278756,210049560,7498623,0,13402891,322328316,"0669088","city of santa clarita",162,"06","000","69088","00000",0,"A","santa clarita city","California",228679,109336
"50","CA","dana point","05203040200000",67222,2022,19586147,0,14135863,0,0,0,2810520,0,1666850,0,636511,6221539,7941845,0,41676487,8691900,47147971,0,0,0,55839871,"0617946","city of dana point",162,"06","000","17946","00000",0,"A","dana point city","California",33100,NA
"51","CA","clovis","05201000100000",31756,2022,328974216,112804262,26098787,0,2170424,13834128,106699645,0,0,0,6372737,127325194,14326409,29053877,64976703,66192640,169489543,23737254,0,1112433,235682183,"0614218","city of clovis",162,"06","000","14218","00000",0,"A","clovis city","California",120160,84837
"52","CA","camarillo","05205670100000",31897,2022,73004967,31181032,21723778,0,0,0,16662363,0,535851,0,2901943,42952039,10839589,7158971,43279171,10287183,93942587,15147895,0,6738809,104229770,"0610046","city of camarillo",162,"06","000","10046","00000",0,"A","camarillo city","California",70740,100238
"53","CA","antioch","05200700100000",43096,2022,181278303,2833402,55005674,0,11217182,2934463,81393609,0,21758875,0,3877145,71674206,15069013,32337366,78364801,60308404,137136982,43011821,0,0,197445386,"0602252","city of antioch",162,"06","000","02252","00000",0,"A","antioch city","California",115305,81008
"54","CA","cathedral","05203360100000",31840,2022,229975616,92864903,23428028,0,0,0,14926038,0,89770353,0,5118155,11465123,11388599,12360668,51536124,29921130,56829384,12333963,0,0,86750514,"0612048","city of cathedral",162,"06","000","12048","00000",0,"A","cathedral city city","California",51498,NA
"55","CA","chino hills","05203620100000",31849,2022,59554428,0,26178203,0,0,0,14590736,0,4142654,0,1589936,77127957,5887612,4276048,19451287,-21819557,128562461,0,0,0,106742904,"0613214","city of chino hills",162,"06","000","13214","00000",0,"A","chino hills city","California",78426,113811
"56","CT","waterbury","07200500800000",32106,2022,1960125000,508092000,110950000,0,0,0,301727000,0,953394000,0,31549000,49177000,278233000,46633000,283253000,24389000,632907000,13697,0,1331,657296000,"0980000","city of waterbury",162,"09","000","80000","00000",0,"A","waterbury city","Connecticut",114455,48793
"57","CT","shelton","07200100500000",56472,2022,55505194,15649465,17642112,0,0,8490010,7316148,0,0,0,7523213,8193239,33012401,0,111310654,1895013,150621281,0,0,0,152516294,"0968100","city of shelton",162,"09","000","68100","00000",0,"A","shelton city","Connecticut",40882,NA
"58","CT","meriden","07200500400000",32104,2022,570036000,190364000,58774000,0,0,17713000,186142000,0,55278000,0,16697000,29846000,127805000,14120000,141597000,-2013000,315381000,12587000,0,0,313368000,"0946450","city of meriden",162,"09","000","46450","00000",0,"A","meriden city","Connecticut",60830,NA
"59","CT","norwalk","07200100400000",32097,2022,663318167,363888763,81935182,0,0,11962143,158343288,0,2799270,0,22741820,50689919,89790551,20191094,357105442,48303946,469473060,17822010,0,0,517777006,"0955990","city of norwalk",162,"09","000","55990","00000",0,"A","norwalk city","Connecticut",91187,89047
"60","CT","bristol","07200200100000",32099,2022,264386816,120443585,51729083,0,0,7902161,0,133129092,64416689,0,4308745,27094540,94828770,25044469,160272985,22251434,284989330,8986921,0,0,307240764,"0908420","city of bristol",162,"09","000","08420","00000",0,"A","bristol city","Connecticut",60845,NA
"61","FL","cape canaveral","10200570200000",96392,2022,17595565,0,1123842,0,10553413,5531000,0,0,0,0,387310,7775562,5617417,1920486,10477763,7751115,18040113,4569391,0,128400,25791228,"1210250","city of cape canaveral",162,"12","000","10250","00000",0,"A","cape canaveral city","Florida",9977,NA
"62","GA","grovetown","11203600200000",59701,2022,27360374,0,1324054,0,0,25524935,0,60027,0,0,261203,8790785,5869862,2689786,9334592,9497618,17187407,0,0,0,26685025,"1335716","city of grovetown",162,"13","000","35716","00000",0,"A","grovetown city","Georgia",15573,NA
"63","GA","roswell","11206000900000",32477,2022,78996266,2213363,31398087,0,0,17289123,14682846,0,0,0,4583999,38221163,2497979,19679851,82460058,27228755,115630296,0,0,0,142859051,"1367284","city of roswell",162,"13","000","67284","00000",0,"A","roswell city","Georgia",92835,104825
"64","GA","st marys","11202000200000",59036,2022,46295412,37065432,4899504,0,0,2232911,190605,0,0,0,289028,12500261,279927,4640903,11337108,5517588,23240611,0,0,0,28758199,"1367984","city of st marys",162,"13","000","67984","00000",0,"A","st marys city","Georgia",18464,NA
"65","GA","alpharetta","11206000100000",47668,2022,190290525,134602977,16375380,0,0,0,29150619,0,0,466932,2718397,22724000,343255,1728113,94261785,13032421,106024732,0,0,0,119057153,"1301696","city of alpharetta",162,"13","000","01696","00000",0,"A","alpharetta city","Georgia",65811,122326
"66","GA","carrollton","11202200200000",64805,2022,31839306,3559000,10907423,0,0,854482,14040812,0,2477589,0,0,26688491,2171674,10215972,21200219,-1126043,61402399,0,0,0,60276356,"1313492","city of carrollton",162,"13","000","13492","00000",0,"A","carrollton city","Georgia",26722,NA
"67","GA","dawsonville","11204200100000",92029,2022,5120717,0,646055,0,0,4287317,109324,0,0,0,78021,2690800,31050,2076714,2307032,2114929,4990667,0,0,0,7105596,"1321940","city of dawsonville",162,"13","000","21940","00000",0,"A","dawsonville city","Georgia",3717,NA
"68","GA","statesboro","11201600300000",71009,2022,43167569,18154000,10064288,0,0,406785,5999086,0,5901037,0,976989,29726538,522202,16861387,13034794,13703006,46441915,0,0,0,60144921,"1373256","city of statesboro",162,"13","000","73256","00000",0,"A","statesboro city","Georgia",33431,NA
"69","GA","dillard","11211900200000",70813,2022,617391,0,121184,0,0,496207,0,0,0,0,0,564136,24734,0,402745,-99097,1090712,0,0,0,991615,"1322976","city of dillard",162,"13","000","22976","00000",0,"A","dillard city","Georgia",336,NA
